weight_mode,gate,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,n_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
shock5,general,0.8,1.3,2,4,256,188,12,0.952483161182933,0.980675793839697,0.25644547867769746,0.12076047435029715,0.9112646093010455,0.738933169096103,0.35203385244847885,0.2868071998602832,1.8518483975476867,0.952483161182933,0.738933169096103,False
shock5,gap2_or_short,0.8,1.3,2,4,256,188,12,0.952483161182933,0.980675793839697,0.25644547867769746,0.12076047435029715,0.9112646093010455,0.738933169096103,0.35203385244847885,0.2868071998602832,1.8518483975476867,0.952483161182933,0.738933169096103,False
shock5,general,0.8,1.15,2,4,256,188,12,0.952483161182933,0.9743006078946336,0.25644547867769746,0.1314878819586329,0.9112646093010455,0.7178480845413715,0.35203385244847885,0.2969508903914363,1.9532853028592174,0.952483161182933,0.7178480845413715,False
shock5,gap2_or_short,0.8,1.15,2,4,256,188,12,0.952483161182933,0.9743006078946336,0.25644547867769746,0.1314878819586329,0.9112646093010455,0.7178480845413715,0.35203385244847885,0.2969508903914363,1.9532853028592174,0.952483161182933,0.7178480845413715,False
shock5,general,0.8,1.0,2,4,256,188,12,0.952483161182933,0.9551899160523174,0.25644547867769746,0.14648865259052032,0.9112646093010455,0.6905249527770125,0.35203385244847885,0.3160034628612428,2.143811027557283,0.952483161182933,0.6905249527770125,False
shock5,gap2_or_short,0.8,1.0,2,4,256,188,12,0.952483161182933,0.9551899160523174,0.25644547867769746,0.14648865259052032,0.9112646093010455,0.6905249527770125,0.35203385244847885,0.3160034628612428,2.143811027557283,0.952483161182933,0.6905249527770125,False
shock_gap,general,0.8,1.3,2,4,256,188,12,0.9521780660065055,0.9783442742107026,0.25868457469124856,0.12668083882920486,0.9102056282612616,0.7252634493452288,0.35314485370724447,0.2949304648276883,1.933081047221738,0.9521780660065055,0.7252634493452288,False
shock_gap,gap2_or_short,0.8,1.3,2,4,256,188,12,0.9521780660065055,0.9783442742107026,0.25868457469124856,0.12668083882920486,0.9102056282612616,0.7252634493452288,0.35314485370724447,0.2949304648276883,1.933081047221738,0.9521780660065055,0.7252634493452288,False
shock_gap,general,0.8,1.15,2,4,256,188,12,0.9521780660065055,0.9775768847739355,0.25868457469124856,0.12738464227219592,0.9102056282612616,0.7075195915440009,0.35314485370724447,0.2984172575685065,1.9679489746299197,0.9521780660065055,0.7075195915440009,False
shock_gap,gap2_or_short,0.8,1.15,2,4,256,188,12,0.9521780660065055,0.9775768847739355,0.25868457469124856,0.12738464227219592,0.9102056282612616,0.7075195915440009,0.35314485370724447,0.2984172575685065,1.9679489746299197,0.9521780660065055,0.7075195915440009,False
shock_gap,general,0.8,1.0,2,4,256,188,12,0.9521780660065055,0.9600329061173398,0.25868457469124856,0.14369317947863833,0.9102056282612616,0.682717780581755,0.35314485370724447,0.317307352085713,2.1568499198019846,0.9521780660065055,0.682717780581755,False
shock_gap,gap2_or_short,0.8,1.0,2,4,256,188,12,0.9521780660065055,0.9600329061173398,0.25868457469124856,0.14369317947863833,0.9102056282612616,0.682717780581755,0.35314485370724447,0.317307352085713,2.1568499198019846,0.9521780660065055,0.682717780581755,False
shock10,general,0.8,1.3,2,4,256,188,12,0.9521300262629445,0.9748697323121638,0.2589391457350325,0.13139691938431616,0.9087519886540469,0.7182901635981824,0.3548268932339618,0.29814841100153355,1.9652605089601904,0.9521300262629445,0.7182901635981824,False
