mode,max_rows,blend,wf_active,ho_active,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,wf_min,ho_min,ok
union,8,3.5,2,4,188,0.6715078755583963,-136.6952559425663,0.4012842657098386,2.2203922551166255,0.7787974245526835,-1.3586246501033092,0.4366798147566728,0.5998385897989781,4.982162296934636,-136.6952559425663,-1.3586246501033092,False
shock_or_acid,8,3.5,2,4,188,0.6715078755583963,-136.6952559425663,0.4012842657098386,2.2203922551166255,0.7787974245526835,-1.3586246501033092,0.4366798147566728,0.5998385897989781,4.982162296934636,-136.6952559425663,-1.3586246501033092,False
union_shock3,8,3.5,2,4,188,0.7612315906239435,-151.00287046108235,0.37821605508601897,2.3251302582053066,0.8055716994277276,-3.640394886925776,0.4242388944883251,0.6762987615876246,5.7467640148211006,-151.00287046108235,-3.640394886925776,False
shock_or_acid_shock3,8,3.5,2,4,188,0.7612315906239435,-151.00287046108235,0.37821605508601897,2.3251302582053066,0.8055716994277276,-3.640394886925776,0.4242388944883251,0.6762987615876246,5.7467640148211006,-151.00287046108235,-3.640394886925776,False
union_shock3,4,3.5,2,4,178,0.7727280168688535,-155.0199793494239,0.3718860330630865,2.3581532061028847,0.8136573020994196,-4.160724701138596,0.41926833092783083,0.6957428972026097,5.924624659636008,-155.0199793494239,-4.160724701138596,False
shock_or_acid_shock3,4,3.5,2,4,178,0.7727280168688535,-155.0199793494239,0.3718860330630865,2.3581532061028847,0.8136573020994196,-4.160724701138596,0.41926833092783083,0.6957428972026097,5.924624659636008,-155.0199793494239,-4.160724701138596,False
union_shock8,4,3.5,2,4,178,0.8285494656311637,-276.74060384535386,0.35369273951903774,3.093521659056244,0.8184400367873543,-6.273653197398626,0.4194213692187597,0.7460252044446604,6.427447732056515,-276.74060384535386,-6.273653197398626,False
union_shock8,8,3.5,2,4,188,0.8066918582374734,-290.55981878013586,0.3635295903196368,3.161129955272399,0.7926691332800273,-5.128496297028276,0.4332100814156294,0.7030447380770541,6.014223779715397,-290.55981878013586,-5.128496297028276,False
union,4,4.0,2,4,178,0.5895697004153546,-632.8268065174847,0.41981300177053027,4.610561886920435,0.742098323161844,-4.334071743099278,0.4549436291373704,0.8371796408655964,7.338992096265875,-632.8268065174847,-4.334071743099278,False
shock_or_acid,4,4.0,2,4,178,0.5895697004153546,-632.8268065174847,0.41981300177053027,4.610561886920435,0.742098323161844,-4.334071743099278,0.4549436291373704,0.8371796408655964,7.338992096265875,-632.8268065174847,-4.334071743099278,False
union,8,4.0,2,4,188,0.5579307274387459,-658.0157056304025,0.43062822664052613,4.691167738910451,0.7456868489099914,-4.372943799399627,0.45190644491656756,0.853693878534924,7.520715184294094,-658.0157056304025,-4.372943799399627,False
shock_or_acid,8,4.0,2,4,188,0.5579307274387459,-658.0157056304025,0.43062822664052613,4.691167738910451,0.7456868489099914,-4.372943799399627,0.45190644491656756,0.853693878534924,7.520715184294094,-658.0157056304025,-4.372943799399627,False
union_shock3,8,4.0,2,4,188,0.6790071493382276,-735.2274534391894,0.40426455735616085,4.948705161747974,0.7790199940611953,-9.763166471389862,0.43768825032417025,0.9820312745209755,8.80408914415461,-735.2274534391894,-9.763166471389862,False
shock_or_acid_shock3,8,4.0,2,4,188,0.6790071493382276,-735.2274534391894,0.40426455735616085,4.948705161747974,0.7790199940611953,-9.763166471389862,0.43768825032417025,0.9820312745209755,8.80408914415461,-735.2274534391894,-9.763166471389862,False
union_shock3,4,4.0,2,4,178,0.6961706224314899,-757.8985922059261,0.39651333877076217,5.028381756164058,0.7897405828271493,-11.184805102507806,0.4323424017694217,1.0175766948256497,9.142962635866407,-757.8985922059261,-11.184805102507806,False
shock_or_acid_shock3,4,4.0,2,4,178,0.6961706224314899,-757.8985922059261,0.39651333877076217,5.028381756164058,0.7897405828271493,-11.184805102507806,0.4323424017694217,1.0175766948256497,9.142962635866407,-757.8985922059261,-11.184805102507806,False
union_shock8,4,4.0,2,4,178,0.7720170403199211,-1450.021392399331,0.3757210032918492,6.885484063742854,0.7957304567462054,-16.505782363633067,0.43251730267334043,1.108867594807744,10.055871635687351,-1450.021392399331,-16.505782363633067,False
union_shock8,8,4.0,2,4,188,0.7408580299329617,-1529.9149927954215,0.38748002619458116,7.061029775519751,0.763113570488578,-13.388864386867862,0.4479410353839465,1.0287156476788368,9.270932875733225,-1529.9149927954215,-13.388864386867862,False
union,4,5.0,2,4,178,0.32909545643594273,-13664.79019480826,0.4748925289358236,20.82037913166432,0.6674968715160009,-22.197164403751582,0.48674208362300375,1.6145251176090774,15.112446863700686,-13664.79019480826,-22.197164403751582,False
shock_or_acid,4,5.0,2,4,178,0.32909545643594273,-13664.79019480826,0.4748925289358236,20.82037913166432,0.6674968715160009,-22.197164403751582,0.48674208362300375,1.6145251176090774,15.112446863700686,-13664.79019480826,-22.197164403751582,False
union,8,5.0,2,4,188,0.27300887694694964,-14310.30367165526,0.48931615181327054,21.287364986354966,0.6709160700297887,-22.194599308841628,0.4823597171572862,1.6493653978269276,15.47743037721413,-14310.30367165526,-22.194599308841628,False
