name,blend,ph_min,irr_min,gap_max,dyn_weight,active,ph_r2,ec_r2,ph_mae,ec_mae,sep2_m_pred,sep2_m_err,sep2_m_type,sep2_a_pred,sep2_a_err,sep2_a_type
overnight_weighted,0.8,9.0,1500,26,4.0,3,0.9429581472537916,0.9751851339377079,0.2809953334559419,0.12984218538019351,9.45460382661319,1.4546038266131909,huber,9.501739144325256,0.8382608556747435,base
overnight,0.9,9.0,1500,26,0.0,3,0.9483947002445303,0.9428301727982901,0.26838058518774066,0.15326501770021572,9.305154058349004,1.3051540583490038,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.9,9.0,1500,26,4.0,3,0.9435194709215917,0.9781597443056929,0.2783027892616172,0.12380971069119898,9.47879118667278,1.4787911866727796,huber,9.501739144325256,0.8382608556747435,base
overnight,1.0,9.0,1500,26,0.0,3,0.9487237733447,0.9524847434358921,0.2645855738740964,0.1474256029727651,9.310048404150397,1.3100484041503968,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,1.0,9.0,1500,26,4.0,3,0.9438496675696767,0.9557860168223556,0.2756102450672926,0.1450499630569603,9.502978546732368,1.5029785467323684,huber,9.501739144325256,0.8382608556747435,base
overnight,0.4,9.0,1900,26,0.0,3,0.9416539823632295,0.8745196917858402,0.287355641755962,0.17160328593544258,9.280682329342044,1.280682329342044,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,9.0,1900,26,4.0,3,0.93840158238544,0.895290275601426,0.2917655102332405,0.16493586138630806,9.357854386374832,1.3578543863748322,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,9.0,1900,26,0.0,3,0.9436815062568833,0.8876048878497804,0.2835606304423178,0.1690141004224637,9.285576675143435,1.2855766751434352,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.5,9.0,1900,26,4.0,3,0.9398874141321005,0.916425873648905,0.2890729660389159,0.15895368405633664,9.382041746434423,1.3820417464344228,huber,9.501739144325256,0.8382608556747435,base
overnight,0.6,9.0,1900,26,0.0,3,0.9453693399918403,0.9015436754331642,0.2797656191286735,0.1659778966953374,9.290471020944828,1.2904710209448282,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.6,9.0,1900,26,4.0,3,0.941142118859046,0.9385685504928777,0.2863804218445912,0.1514007082654915,9.406229106494012,1.4062291064940116,huber,9.501739144325256,0.8382608556747435,base
overnight,0.7,9.0,1900,26,0.0,3,0.9467174835681004,0.9159291528625523,0.2759706078150293,0.16241078202598325,9.295365366746221,1.2953653667462213,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.7,9.0,1900,26,4.0,3,0.9421656965662764,0.9595324079366171,0.28368787765026654,0.14186812879393754,9.4304164665536,1.4304164665536003,huber,9.501739144325256,0.8382608556747435,base
overnight,0.8,9.0,1900,26,0.0,3,0.9477259369856638,0.9300651187084273,0.27217559650138495,0.15821282877385048,9.300259712547613,1.3002597125476125,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.8,9.0,1900,26,4.0,3,0.9429581472537916,0.9751851339377079,0.2809953334559419,0.12984218538019351,9.45460382661319,1.4546038266131909,huber,9.501739144325256,0.8382608556747435,base
overnight,0.9,9.0,1900,26,0.0,3,0.9483947002445303,0.9428301727982901,0.26838058518774066,0.15326501770021572,9.305154058349004,1.3051540583490038,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.9,9.0,1900,26,4.0,3,0.9435194709215917,0.9781597443056929,0.2783027892616172,0.12380971069119898,9.47879118667278,1.4787911866727796,huber,9.501739144325256,0.8382608556747435,base
overnight,1.0,9.0,1900,26,0.0,3,0.9487237733447,0.9524847434358921,0.2645855738740964,0.1474256029727651,9.310048404150397,1.3100484041503968,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,1.0,9.0,1900,26,4.0,3,0.9438496675696767,0.9557860168223556,0.2756102450672926,0.1450499630569603,9.502978546732368,1.5029785467323684,huber,9.501739144325256,0.8382608556747435,base
overnight,0.4,9.5,300,26,0.0,5,0.9393353712438527,0.8720057028972159,0.291231162921512,0.1728290943850038,9.280682329342044,1.280682329342044,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,9.5,300,26,4.0,5,0.9303340515887029,0.8817410971562758,0.30561693095546716,0.16820524996262487,9.357854386374832,1.3578543863748322,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,9.5,300,26,0.0,5,0.9408398639790275,0.8841092905746968,0.2884050318992552,0.1707853043673784,9.285576675143435,1.2855766751434352,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.5,9.5,300,26,4.0,5,0.9294616006244432,0.8977879179372998,0.3063872419416992,0.1641645340642107,9.382041746434423,1.3820417464344228,huber,9.501739144325256,0.8382608556747435,base
overnight,0.6,9.5,300,26,0.0,5,0.9420273152040516,0.8969637435524668,0.28557890087699844,0.16839405825264497,9.290471020944828,1.2904710209448282,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.6,9.5,300,26,4.0,5,0.9282214626357742,0.9151056819328124,0.30715755292793123,0.15927338975171024,9.406229106494012,1.4062291064940116,huber,9.501739144325256,0.8382608556747435,base
overnight,0.7,9.5,300,26,0.0,5,0.9428977249189251,0.9102394648094368,0.2827527698547417,0.16559341314356574,9.295365366746221,1.2953653667462213,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.7,9.5,300,26,4.0,5,0.9266136376226958,0.9330901882551352,0.3079278639141632,0.1533528603189504,9.4304164665536,1.4304164665536003,huber,9.501739144325256,0.8382608556747435,base
overnight,0.8,9.5,300,26,0.0,5,0.9434510931236478,0.9233843145907259,0.2799266388324849,0.1623102533852857,9.300259712547613,1.3002597125476125,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.8,9.5,300,26,4.0,5,0.924638125585208,0.9506268935260188,0.30869817490039525,0.14618667229607799,9.45460382661319,1.4546038266131909,huber,9.501739144325256,0.8382608556747435,base
overnight,0.9,9.5,300,26,0.0,5,0.94368741981822,0.9355248133719285,0.2771005078102281,0.15845827586070377,9.305154058349004,1.3051540583490038,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.9,9.5,300,26,4.0,5,0.9222949265233107,0.9658125188924479,0.3094684858866273,0.13751351698807018,9.47879118667278,1.4787911866727796,huber,9.501739144325256,0.8382608556747435,base
overnight,1.0,9.5,300,26,0.0,5,0.9436067050026414,0.9453281977507921,0.27485312712011084,0.1539356136490331,9.310048404150397,1.3100484041503968,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,1.0,9.5,300,26,4.0,5,0.9195840404370039,0.9755413583502153,0.31023879687285927,0.12701774400608334,9.502978546732368,1.5029785467323684,huber,9.501739144325256,0.8382608556747435,base
overnight,0.4,9.5,1000,26,0.0,5,0.939966972521313,0.872622578699811,0.2902922230813071,0.1728747309306015,9.280682329342044,1.280682329342044,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,9.5,1000,26,4.0,5,0.9329456190577858,0.8851849431701583,0.30264889989579663,0.16781738450820927,9.357854386374832,1.3578543863748322,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,9.5,1000,26,0.0,5,0.9415460548084474,0.8849745032927729,0.28723135709899905,0.1708215842534468,9.285576675143435,1.2855766751434352,huber,9.501739144325256,0.8382608556747435,base
