kind,blend,gmin,gmax,wf_active,ho_active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
huber,0.85,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.825955273855608,0.9373809657432196,True
huber,0.85,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.825955273855608,0.9373809657432196,True
huber,0.85,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.825955273855608,0.9373809657432196,True
huber,0.9,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.825955273855608,0.932621541031461,True
huber,0.9,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.825955273855608,0.932621541031461,True
huber,0.9,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.825955273855608,0.932621541031461,True
huber,0.9,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.825955273855608,0.932621541031461,True
huber,0.9,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.825955273855608,0.932621541031461,True
huber,0.9,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.825955273855608,0.932621541031461,True
huber,0.7,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.825955273855608,0.9179636921639087,True
huber,0.7,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.825955273855608,0.9179636921639087,True
huber,0.7,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.825955273855608,0.9179636921639087,True
huber,0.7,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.825955273855608,0.9179636921639087,True
huber,0.7,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.825955273855608,0.9179636921639087,True
huber,0.7,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.825955273855608,0.9179636921639087,True
huber,1.0,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.825955273855608,0.9113183249555913,True
huber,1.0,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.825955273855608,0.9113183249555913,True
huber,1.0,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.825955273855608,0.9113183249555913,True
huber,1.0,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.825955273855608,0.9113183249555913,True
huber,1.0,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.825955273855608,0.9113183249555913,True
