skip_cap,feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
48.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,0.0,44,251,12,2,0.8817132689745883,0.8372937233647606,0.8372937233647606,0.40300174731319227,0.17670488446851337,4,0.9419319290631379,0.4386760579260194,0.2991092357691377,0.3947221580673751
48.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,0.8,44,343,12,2,0.8367995724814035,0.9131827184814285,0.8367995724814035,0.4431136596701315,0.16200373206415725,4,0.8987846144409097,0.5964435492702392,0.34264668611539084,0.3362925083719942
48.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,0.8,44,339,12,2,0.8347349459059771,0.9086009754996924,0.8347349459059771,0.4458356462824841,0.15712014438099325,4,0.9032773004600907,0.5979363317918215,0.3225976091925557,0.3349488837504917
48.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,1.0,44,343,12,2,0.8332765417788515,0.9412859919784532,0.8332765417788515,0.44955550195529986,0.1511599377273213,4,0.8808903203636789,0.6263097313830603,0.35673122841480104,0.3211489438639005
72.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,0.8,44,509,12,2,0.8314270030936111,0.9328383646449301,0.8314270030936111,0.4369110481247582,0.14371377931293516,4,0.911087934995682,0.6137028580933236,0.3074364684812344,0.34386469693706023
48.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,1.0,44,339,12,2,0.8308869689968549,0.9352203790575796,0.8308869689968549,0.45227918646714343,0.14764922376272505,4,0.8877871243530535,0.6273356525567976,0.3349612953005172,0.31936912886489066
72.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,0.0,44,323,12,2,0.8812973425783356,0.8306035736798364,0.8306035736798364,0.39234777477838223,0.18445404429501003,4,0.9379704695008423,0.5142913107438888,0.302659823346883,0.37362688321010357
48.0,current_union,current,50,12,chem_event,salt_shock_strict,8.0,0.0,44,343,12,2,0.8822912002199762,0.8296038560541577,0.8296038560541577,0.4035914305940869,0.1889487380796798,4,0.9481739062088331,0.46991204242137186,0.28630851808190333,0.3826008839163425
48.0,current_union,current,50,8,chem_event,salt_shock_strict,8.0,0.0,44,339,12,2,0.8806559735656948,0.8290662209821498,0.8290662209821498,0.4052960238719389,0.18273302559892016,4,0.9490304588977159,0.47056314810991606,0.2731428644172847,0.3813364904976232
72.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,0.0,44,509,12,2,0.8285518775810929,0.840732803901789,0.8285518775810929,0.4407542969752102,0.168419176185871,4,0.949928794222508,0.547432735656848,0.2667143006492406,0.37391519226820147
48.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,1.2,44,343,12,2,0.827302197393353,0.9662827549379235,0.827302197393353,0.4559973442404682,0.14034497533775114,4,0.8607772378841549,0.6529482512752907,0.3708157707142112,0.3042653783525483
72.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,0.0,44,446,12,2,0.8272691770928895,0.8421848012155398,0.8272691770928895,0.44313039846485464,0.1680575944861765,4,0.9426848546327024,0.5536984630316897,0.29419635976105923,0.36744785082699016
72.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,0.8,44,446,12,2,0.827069637249628,0.9114305592192743,0.827069637249628,0.442578089669584,0.14996837915780611,4,0.9189331993973037,0.653293365569154,0.32072065662204263,0.3267985751992576
