experiment,feature_set,params,capacity_ml,et_scale,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err
base_plus_pot35|cfg39_aug_focus|cap2500|et150,base_plus_pot35,cfg39_aug_focus,2500,150,35,0.20798122434076957,0.493837443436844,0.24673468354430375,0.8253835999796804,0.38840084802054914,0.565228399233097,11,0.2613886877483526,21,0.6101939776436568,3.6198060223563435
base_plus_pot35|cfg19_balanced|cap1800|et150,base_plus_pot35,cfg19_balanced,1800,150,35,0.20214682542058274,0.48527047154609526,0.24673468354430375,0.83138945580336,0.3808579679909162,0.539324371651363,11,0.2586771418192942,21,0.5730132863965137,3.656986713603487
base_plus_pot35|cfg39_aug_focus|cap1800|et150,base_plus_pot35,cfg39_aug_focus,1800,150,35,0.21035341973421806,0.49746823193031076,0.24673468354430375,0.822806533974632,0.3914732911034072,0.5716555039106833,11,0.26302692665906985,21,0.6287663217177526,3.601233678282248
base_plus_pot43|cfg19_balanced|cap1200|et250,base_plus_pot43,cfg19_balanced,1200,250,43,0.2093345525693875,0.48592945318760533,0.24673468354430375,0.8309312095161521,0.3206781033890275,0.43085380923364375,11,0.22183006392063137,21,0.6435222043151397,3.5864777956848606
base_plus_pot43|cfg39_aug_focus|cap1200|et250,base_plus_pot43,cfg39_aug_focus,1200,250,43,0.21245391801134655,0.4909585821267107,0.24673468354430375,0.8274135438495878,0.33855783918968774,0.4523859165056374,11,0.22753711530752257,21,0.589692197685575,3.6403078023144255
base_plus_pot43|cfg19_balanced|cap3200|et250,base_plus_pot43,cfg19_balanced,3200,250,43,0.22999365718116732,0.4951940219708358,0.24673468354430375,0.8244229348026614,0.36127469924977196,0.490197965622673,11,0.24367890498710398,21,0.8957307141582975,3.334269285841703
base_plus_pot43|cfg39_aug_focus|cap3200|et250,base_plus_pot43,cfg39_aug_focus,3200,250,43,0.23220160656862449,0.49294384510449,0.24673468354430375,0.8260149646184182,0.3856061690970933,0.4849399562377802,11,0.2498804023907684,21,0.8774794788649436,3.352520521135057
base_plus_pot43|cfg19_balanced|cap4000|et250,base_plus_pot43,cfg19_balanced,4000,250,43,0.22451442839323912,0.47839241635051727,0.24673468354430375,0.8361352378567024,0.35033295790151436,0.4398839464343807,11,0.23727662455383774,21,0.9181427218691313,3.3118572781308693
base_plus_pot43|cfg39_aug_focus|cap4000|et250,base_plus_pot43,cfg39_aug_focus,4000,250,43,0.22976395411682393,0.49220629018791495,0.24673468354430375,0.8265352166475286,0.36381527278456943,0.46034321329703715,11,0.23954404922877193,21,0.8735635150381799,3.3564364849618205
compact25_pot|cfg19_balanced|cap3200|et250,compact25_pot,cfg19_balanced,3200,250,25,0.21645915151936854,0.4648353706526965,0.24673468354430375,0.8452910873579436,0.3981736449688094,0.5122127821436905,11,0.2629375846779326,21,0.8997299691857205,3.33027003081428
compact25_pot|cfg39_aug_focus|cap3200|et250,compact25_pot,cfg39_aug_focus,3200,250,25,0.22163308239046695,0.48114978987110857,0.24673468354430375,0.8342408160597432,0.40953144496978827,0.537132052711184,11,0.26462303357857764,21,0.8345803732493543,3.395419626750646
compact25_pot|cfg19_balanced|cap2500|et250,compact25_pot,cfg19_balanced,2500,250,25,0.2159701220499228,0.46587189958055925,0.24673468354430375,0.8446003522466538,0.4090460610991823,0.5124688895271553,11,0.2673469659526586,21,0.8680329408544615,3.361967059145539
compact25_pot|cfg39_aug_focus|cap2500|et250,compact25_pot,cfg39_aug_focus,2500,250,25,0.23077464777739914,0.49563314935314573,0.24673468354430375,0.8241114008211133,0.4201178749552058,0.5349162076975243,11,0.2701337394293576,21,0.8234605346451933,3.406539465354807
